,GDF3,AC234917.1,LINC02313,AC087441.1,AC005670.2,AL591438.2,AC106798.1,CYP3A4,AC093627.4,AC004832.5,CARMIL3,AL049766.3,MCF2L2,AP001357.2,OR10Y1P,SLAMF6,U1
06H144,0.0,1.6877964113812944,0.0,0.11727129565576427,0.0,0.292256071356476,0.08990511143939793,0.6283889300503115,0.0,1.4104397862103466,0.0,0.5365584425715302,0.0,0.5611013836490559,0.0,0.01703333929878037,0.012837224705172217
06H146,0.03342375548694973,1.4854374810763014,0.0,0.04921802267018165,0.0,0.22530928172586287,0.11394335230683678,0.6693168805661122,0.01703333929878037,1.6929350025311378,0.0,1.196452541703389,0.0,0.6304278750250238,0.0,0.012837224705172217,0.012837224705172217
06H151,0.0,1.4101020766428607,0.0,0.09342168516223506,0.012837224705172217,0.4548448600085102,0.07554696139253074,0.9153998352122699,0.0,1.371806458507416,0.0,0.5987905067631151,0.0,0.670245853074124,0.0,0.008600171761917567,0.09342168516223506
07H003,0.012837224705172217,1.3529539117100877,0.0,0.08278537031645007,0.0,0.8169038393756602,0.42324587393680785,0.7497363155690611,0.0,1.4084095784684296,0.05307844348341968,0.271841606536499,0.0,0.5327543789924978,0.0,0.008600171761917567,0.0
07H005,0.021189299069938092,1.4119562379304016,0.0,0.11727129565576427,0.0,0.6560982020128319,0.11394335230683678,1.1589652603834102,0.0,1.4841574243653808,0.04921802267018165,0.3010299956639812,0.0,0.8785217955012066,0.0,0.0,0.0
07H009,0.0,1.5864747785713966,0.0,0.03342375548694973,0.03342375548694973,0.2148438480476979,0.5705429398818975,0.47712125471966244,0.03742649794062367,1.4877038631637263,0.0,2.040879124515787,0.0,0.3856062735983121,0.03342375548694973,0.012837224705172217,0.0
07H019,0.0,1.2362852774480284,0.0,0.11727129565576427,0.0,0.23804610312879543,0.06818586174616162,0.6937269489236468,0.012837224705172217,1.2638726768652235,0.0,0.9390197764486665,0.0,0.5965970956264602,0.0,0.0,0.021189299069938092
07H020,0.0,1.387033701282363,0.0,0.06069784035361165,0.03342375548694973,0.8155777483242672,0.008600171761917567,1.0232524596337116,0.0,1.4838724542226736,0.0,1.2011238972073794,0.0,0.7084209001347128,0.0,0.004321373782642578,0.004321373782642578
07H024,0.0,1.4239009185284166,0.0,0.03342375548694973,0.0,0.23552844690754893,0.0,0.4345689040341987,0.0,1.3186892699477457,0.0,0.48572142648158,0.0,0.2741578492636798,0.0,0.021189299069938092,0.7626785637274363
07H034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07H041,0.0,1.2494429614425822,0.0,0.26007138798507473,0.0,0.39093510710337914,0.05307844348341968,0.42488163663106704,0.0,1.212187604403958,0.04139268515822507,0.09342168516223506,0.19589965240923368,0.6148972160331346,0.0,0.17609125905568124,0.0
07H042,0.0,1.3767593954048798,0.0,0.012837224705172217,0.0,0.5092025223311029,0.1846914308175988,1.0614524790871933,0.0,1.2545480771089739,0.0,0.6253124509616739,0.0,0.6739419986340879,0.0,0.004321373782642578,0.0
