,DNMT3B,CPXM1,LAPTM4B,CDK6,DPYSL3,SOCS2,ARHGAP22,ZBTB46,EMP1,MMRN1,CD34,AKR1C3,NYNRIN,SMIM24,ADGRG1,Z99755.1
07H020,0.888179493918325,1.7194970166105816,0.5965970956264602,2.091455913055092,0.20139712432045143,0.639486489268586,0.1430148002540951,0.8286598965353198,1.3868555291847242,0.9247959957979122,2.5560008026086427,1.7312663490754916,0.7126497016272113,2.1913951171121053,0.4487063199050799,0.0
07H024,0.5327543789924978,0.9969492484953811,1.0704073217401198,0.8943160626844384,0.1205739312058499,0.8893017025063104,0.724275869600789,0.1643528557844371,0.6294095991027189,0.4913616938342727,1.0913151596972228,1.3059958827708047,0.2944662261615929,0.9694159123539814,0.8344207036815325,0.04139268515822507
07H034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07H041,0.724275869600789,1.0569048513364727,0.7944880466591696,1.1702617153949575,0.28103336724772754,2.448304295575824,0.19865708695442263,0.3521825181113625,1.3271545124094315,1.7119758543517558,0.06818586174616162,0.10380372095595687,0.4132997640812518,0.31386722036915343,0.5211380837040362,0.0
07H042,1.4930395883176515,2.1792357211984807,0.7867514221455612,1.9598519547996052,1.4399639359209049,1.498172660636544,1.5035183127240748,1.06781451116184,1.6550423413312016,1.279210512601395,0.7626785637274363,1.6913467641348219,1.1383026981662814,2.1778538085223005,2.111766433052562,0.0
07H043,0.48572142648158,1.2685779718828432,0.287801729930226,1.6839471307515121,0.10380372095595687,0.4913616938342727,0.5390760987927766,0.20139712432045143,1.740441644949766,0.15836249209524964,0.33041377334919075,0.8524799936368563,0.3096301674258988,1.794418330874141,0.38381536598043126,0.0
07H045,0.30749603791321295,0.7450747915820575,0.5563025007672873,1.8310374856400253,0.6148972160331346,0.21218760440395779,0.10720996964786837,0.33243845991560533,1.6860102913152855,0.04139268515822507,0.04139268515822507,1.0916669575956846,0.18184358794477254,1.1439511164239635,0.3996737214810381,0.0
07H052,0.6424645202421214,0.909020854211156,0.8388490907372553,1.5662017188549129,0.08990511143939793,0.47275644931721233,0.292256071356476,0.25527250510330607,0.9943171526696367,0.029383777685209667,0.08278537031645007,0.9278834103307069,0.5250448070368452,2.0757293997408985,1.1335389083702174,0.0
07H055,0.6483600109809317,1.2607866686549762,0.6627578316815741,1.1705550585212086,0.436162647040756,0.3443922736851107,0.7611758131557314,0.2528530309798932,2.2268575702887237,0.46982201597816303,0.5065050324048721,0.436162647040756,0.3283796034387377,1.0346284566253203,0.541579243946581,0.03742649794062367
07H062,1.6994908452722044,2.1811000797280484,2.256453144939036,1.934750874663579,1.4032921451582543,2.1741470650970305,1.6370892735303304,1.1156105116742998,1.6640775901850746,1.539452491549461,2.2366380141818505,1.9365137424788932,1.0659529803138696,1.9872639541222354,2.15896526038341,0.0
07H069,1.582404298019028,0.515873843711679,1.3918169236132487,2.0042353663594676,0.888179493918325,0.8555191556678001,1.5077209766856134,1.227115082589125,2.494669317586564,1.1942367487238292,2.7866804531966487,1.9804124616068914,1.6173149332982937,2.225722698684167,1.8861521819707967,0.0
07H082,0.534026106056135,1.1112625136590653,1.1373541113707328,1.6612446089593336,0.146128035678238,0.8926510338773004,0.14921911265537988,0.13033376849500614,2.003675902548784,0.250420002308894,0.4132997640812518,1.1119342763326816,0.5763413502057928,2.0681858617461617,1.4219328132785085,0.0
07H089,1.3839947894417328,2.175627764367181,1.9228292196666488,1.9419087743655994,0.8182258936139555,1.7821858664920165,1.3930484664167782,0.785329835010767,1.7487305560984945,1.1658376246901283,1.1075491297446862,1.588271706842329,1.141136090120739,1.7652959296980566,2.0609621130938325,0.04139268515822507
07H095,1.4336098433237183,2.125416197982755,1.2810333672477277,1.8573928109209012,0.9444826721501687,1.637189422148762,1.4721711466923633,0.8530895298518655,1.3310221710418286,1.2702128548962426,1.2801228963023075,1.8034571156484138,0.919078092376074,2.263636068588108,2.1256438923573917,0.0
07H098,1.1631613749770184,1.7540423867854362,1.3780343224573315,1.7285972433834316,0.3820170425748684,1.2875778090787053,1.167317334748176,0.6711728427150833,1.325720858019412,0.6424645202421214,1.6654871807828107,1.7299742856995557,0.7810369386211318,2.1153108949104995,1.5405797165044544,0.0
07H099,0.1430148002540951,1.8484354553314708,0.9768083373380663,1.797682934914899,0.22271647114758328,1.2953471483336179,0.3873898263387294,0.7535830588929066,2.8260618384929446,1.2951270852521912,2.608868199820541,1.9602328731285124,0.3424226808222063,2.107718610520263,0.6473829701146198,0.0
07H106,0.8715729355458788,2.1301728888925355,0.505149978319906,1.6807886115066824,1.2607866686549762,0.6665179805548809,0.9758911364017928,0.8202014594856403,2.927980820835913,0.39093510710337914,0.021189299069938092,1.1714339009430081,0.5514499979728752,2.319813684538678,1.4141373621844766,0.0
07H107,1.1169396465507557,1.9505595616118,0.8959747323590646,1.9350031514536548,1.544811911757776,0.8512583487190752,0.8959747323590646,0.8836614351536176,1.3230457354817013,0.4712917110589386,1.0342272607705507,1.6315452278343094,0.4265112613645752,2.2352758766870524,0.6354837468149122,0.0
07H112,0.6766936096248666,1.530199698203082,0.8215135284047732,1.8092229216894218,0.9867717342662448,0.24054924828259971,0.8280150642239769,0.8819549713396004,1.7798128631705805,0.30749603791321295,0.1903316981702915,1.503790683057181,0.5390760987927766,2.0460657302306875,1.1532049000842843,0.0
07H117,0.20951501454263097,1.3710678622717363,0.6434526764861874,0.7395723444500919,0.9740509027928773,0.292256071356476,0.36548798489089973,0.17318626841227402,2.1297221086958777,0.008600171761917567,0.11727129565576427,1.0969100130080565,0.04532297878665747,1.894758994371892,0.359835482339888,0.0
07H124,1.0549958615291415,2.0156530985354655,1.5793262037552551,2.0894458582738342,1.5532760461370994,1.634275694625944,0.9153998352122699,0.8162412999917831,2.174466858886018,1.437750562820388,2.416673785333922,1.6715430852625737,0.9180303367848802,2.2082800785453096,1.7790189719148706,0.0
07H125,1.5891673905460475,2.067851660512353,1.857030798272624,1.901076715726255,1.4994121256722754,1.8604577954234711,1.5444401373176924,1.118595365223762,1.396548037987132,1.1051694279993316,0.9425041061680807,2.0786380383696725,1.0195316845312554,2.0717347638797605,1.755188585608325,0.0
07H131,1.1967287226232868,1.7712199019495336,2.0528477834008605,1.926188049107206,0.021189299069938092,1.6748611407378116,0.8825245379548805,0.7649229846498885,0.36548798489089973,0.47856649559384334,0.1903316981702915,1.9390697499234242,1.0614524790871933,2.03148925570975,1.379305517750582,0.029383777685209667
07H133,1.3332456989619628,2.178660458538169,2.1620862402408547,2.2513705054967024,0.9014583213961124,1.8115750058705933,1.415974411376566,1.0043213737826426,1.290479813330673,1.052693941924968,2.5090411445568166,1.9107310980433807,1.4320066872695985,2.277058835755107,2.0406418915445363,0.0
07H134,0.47712125471966244,0.9890046156985368,0.6473829701146198,1.3406423775607053,0.44404479591807633,0.6444385894678386,1.0813473078041325,0.28555730900777376,1.3619166186686433,0.5751878449276611,0.5037906830571811,0.7126497016272113,0.30319605742048883,1.055378331375,0.6190933306267428,0.0
