,AL356310.1,FER1L6_AS2,ACTG1P23,AL136985.1,DOK1,IGKV1_16,OTX2,AC012507.2,RPL9P33,NCKAP1L,FRMD3,SNX18P27,UBXN7_AS1,SMKR1,MED15,CD200R1,AP001476.2
10H048,0.21748394421390624,0.008600171761917567,0.0,0.16136800223497488,0.0,0.0,0.0,0.0,0.40483371661993806,0.8221680793680175,0.0,0.1553360374650618,0.0,0.03342375548694973,0.6766936096248666,0.004321373782642578,0.021189299069938092
10H051,0.05307844348341968,0.029383777685209667,0.012837224705172217,0.7986506454452689,0.0,0.0,0.004321373782642578,0.0,0.38381536598043126,0.9508514588885464,0.0,0.28103336724772754,0.008600171761917567,0.008600171761917567,0.6138418218760692,0.9324737646771531,0.0
10H055,0.4471580313422192,0.02530586526477026,0.0,0.2148438480476979,0.10037054511756291,0.0,0.004321373782642578,0.0,0.26481782300953643,0.416640507338281,0.0,0.15836249209524964,0.04921802267018165,0.35410843914740087,0.7209857441537391,0.22271647114758328,0.0
10H056,0.09691001300805642,0.02530586526477026,0.0,0.03742649794062367,0.0,0.0,0.0,0.0,0.35793484700045386,0.5502283530550941,0.0,0.03742649794062367,0.0,0.0,0.2576785748691845,0.012837224705172217,0.012837224705172217
10H058,0.012837224705172217,0.0,0.0,0.22010808804005513,0.0,0.0,0.02530586526477026,0.0,0.20411998265592482,0.5728716022004803,0.0,0.08635983067474821,0.0,0.4099331233312946,0.741151598851785,0.8068580295188175,0.0
10H059,0.03742649794062367,0.008600171761917567,0.0,0.24303804868629442,0.012837224705172217,0.0,0.008600171761917567,0.0,0.24303804868629442,0.989894563718773,0.0,0.06818586174616162,0.021189299069938092,0.004321373782642578,0.8095597146352678,0.39093510710337914,0.0
10H063,0.23299611039215382,0.008600171761917567,0.004321373782642578,0.20682587603184968,0.0,0.0,0.0,0.0,0.39093510710337914,0.6848453616444125,0.0,0.1205739312058499,0.01703333929878037,0.11727129565576427,0.6222140229662952,1.291590825658001,0.0
10H066,0.029383777685209667,0.021189299069938092,0.004321373782642578,0.271841606536499,0.0,0.0,0.004321373782642578,0.0,0.13033376849500614,0.6821450763738318,0.0,0.10037054511756291,0.0,0.04139268515822507,0.6053050461411094,0.3283796034387377,0.18752072083646307
10H068,0.19865708695442263,0.0,0.012837224705172217,0.04921802267018165,0.021189299069938092,0.0,0.0,0.0,0.5327543789924978,0.9253120914996495,0.0,0.1931245983544616,0.0,0.02530586526477026,0.7299742856995556,0.056904851336472634,0.021189299069938092
10H070,0.09691001300805642,0.04921802267018165,0.008600171761917567,0.03742649794062367,0.0,0.0,0.01703333929878037,0.0,0.5211380837040362,0.7867514221455612,0.0,0.10720996964786837,0.0,0.03342375548694973,0.44404479591807633,0.004321373782642578,0.012837224705172217
10H072,0.3010299956639812,0.0,0.0,0.5490032620257879,0.0,0.0,0.008600171761917567,0.0,0.2944662261615929,0.6384892569546373,0.0,0.11394335230683678,0.021189299069938092,0.14921911265537988,0.6222140229662952,0.725094521081469,0.42813479402878873
10H078,0.20411998265592482,0.0,0.0,0.2787536009528289,0.0,0.0,0.0,0.0,0.21748394421390624,0.4913616938342727,0.0,0.07554696139253074,0.0,0.13033376849500614,0.6263403673750424,0.3820170425748684,0.0
10H089,0.09342168516223506,0.029383777685209667,0.012837224705172217,0.20411998265592482,0.0,0.0,0.004321373782642578,0.0,0.48144262850230496,0.9334872878487055,0.0,0.18184358794477254,0.01703333929878037,0.008600171761917567,0.6866362692622934,0.6190933306267428,0.008600171761917567
10H092,0.15228834438305647,0.0,0.012837224705172217,0.06069784035361165,0.0,0.0,0.03742649794062367,0.0,0.35410843914740087,0.9334872878487055,0.0,0.26481782300953643,0.0,0.0,0.44404479591807633,0.0,0.0
10H095,0.05307844348341968,0.02530586526477026,0.01703333929878037,0.23552844690754893,0.0,0.0,0.004321373782642578,0.0,0.6785183790401139,1.085290578230065,0.0,0.14921911265537988,0.0,0.0,0.7450747915820575,0.33243845991560533,0.0
10H101,0.21218760440395779,0.02530586526477026,0.02530586526477026,0.287801729930226,0.02530586526477026,0.0,0.0,0.0,0.5185139398778874,1.082066934285113,0.0,0.22530928172586287,0.01703333929878037,0.0,0.5118833609788744,0.004321373782642578,0.04139268515822507
10H106,0.07188200730612536,0.0,0.008600171761917567,0.15228834438305647,0.0,0.0,0.0,0.0,0.30319605742048883,0.7846172926328754,0.0,0.13987908640123647,0.008600171761917567,0.08990511143939793,0.8579352647194289,0.12385164096708583,0.03342375548694973
10H107,0.271841606536499,0.06818586174616162,0.008600171761917567,0.04139268515822507,0.012837224705172217,0.0,0.021189299069938092,0.021189299069938092,0.6946051989335688,0.8926510338773004,0.0,0.11058971029924897,0.004321373782642578,0.04139268515822507,0.5092025223311029,0.029383777685209667,0.04532297878665747
10H109,0.01703333929878037,0.0,0.0,0.10380372095595687,0.0,0.0,0.008600171761917567,0.0,0.6106601630898799,0.8662873390841949,0.03742649794062367,0.22271647114758328,0.03342375548694973,0.04921802267018165,0.9052560487484512,0.7032913781186614,0.0
10H110,0.05307844348341968,0.0,0.004321373782642578,0.10380372095595687,0.0,0.0,0.004321373782642578,0.0,0.2966651902615311,0.7505083948513462,0.0,0.11058971029924897,0.0,0.01703333929878037,0.8267225201689921,0.02530586526477026,0.414973347970818
10H115,0.09342168516223506,0.021189299069938092,0.012837224705172217,0.15836249209524964,0.0,0.0,0.008600171761917567,0.0,0.6532125137753437,1.0863598306747482,0.0,0.271841606536499,0.01703333929878037,0.008600171761917567,0.6138418218760692,0.05307844348341968,0.0
