,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
03H067,0.2932492835635744,18.761511859701873,-7.681603336378662,-1.4909708545325335,-7.285685529704378,0.164478116762175,2.5738886650328405,5.887017298459387,1.3656082840051564,-1.3474111704274443,-2.978939767649962,0.7836018273439355,1.3659031384903728,-3.2102335611008943,0.6629236047013913,0.15488708434394582,3.093130409335303
03H070,-6.1007076327402,-7.911886039804381,-9.692055924464073,-12.726583245279349,2.9165828670247045,7.6603484154151875,12.878783541170133,-8.608923717987038,-0.5996273156623566,-0.044645361553563384,7.380028999349404,-4.942992680615929,-0.8107035124921249,1.096875310890842,-0.5853098524634348,3.133781919813055,-0.34075855661150556
03H081,-4.228271426654638,-15.554004437770331,0.5477468669006325,-3.4097758300020655,5.230975645472164,2.640429938730862,-0.6300705602601205,3.4915686112684914,0.943263804045933,-4.795016931009543,1.5870275409913253,-0.7247398196131478,0.3389067689365935,4.067331316801182,6.117176989576301,-8.130451143310378,-5.268787532897182
03H090,12.626408623705812,-16.839945422162696,12.327414793231664,-4.074626202235455,-8.55914959519144,-0.8879727867828966,-4.3503064855554525,0.7498461863721307,0.012465367970517338,3.3848137929414746,3.621442705396074,4.077943695348189,-0.5401962796643651,-2.536637262566468,-1.2982614859285815,-2.8974991716527607,0.8521754238294871
03H095,-3.4860096590632113,21.3741664434289,-8.741456808937214,-1.3162763917966953,5.640050842703675,-2.6895251307296006,1.54988517408322,4.308302556671016,3.96350776484888,-8.558168644873062,2.2138048563683297,-4.916290663991479,2.8438299776465725,4.023521064676635,-2.8662833271067756,3.6424226846454433,-5.253412846836277
03H109,-6.293809714115,3.5412478270750345,-9.317243403341832,1.8455636155930644,4.28381061897729,-13.667461432097138,7.7959126046391924,3.62908577075632,3.810192741046992,-2.0187214967978577,7.43580892002713,-5.95945331375525,3.787027587397435,7.37966454467191,-1.828381836518957,0.5085111122001825,2.5600392818449604
03H112,5.423847191060617,3.3687685796634086,-11.298065078999876,-6.707751606339467,3.5817359836278846,-13.30140086105877,6.929897795480036,2.1297818111557327,10.67270420345543,-1.7453377554640972,6.034262600782272,-3.368363058843733,4.917383828805508,4.073684801495831,-0.6309465817264657,-2.5153396028138544,2.502754239702932
03H116,-13.198022959617205,-15.961335642357582,-7.896312968613163,-4.011325017174785,-8.385570708619117,5.561794577895731,4.458640626955683,0.9681121734325812,-5.90778302548927,0.2890935928808309,-7.3533249288013565,-7.345942225126009,11.909695404422955,6.5923634722196365,1.7435792208046004,3.1178055847623725,-1.5767228930302752
03H119,2.9673102021589886,0.9589992401750487,-9.530847542692007,-6.398329967312993,1.5920791733866704,-10.216102607879364,0.043406224701097715,11.790483793896312,0.9163596208688845,-7.044099691739743,2.328536912115698,-3.0247951437077734,3.1953309263372844,-7.506879531155413,3.992679012632533,3.2307231178416282,-3.002876796584448
04H006,2.555307743940239,-0.27487408385982215,0.9846018622665966,-4.958757711899659,-11.044725021018406,4.843155689431255,-2.1336976348002437,3.697044641355625,10.20076355956889,-1.4789773602799106,-0.5540923329018154,-1.5855130245925608,-2.6104162339409216,1.772046115150057,-1.0091526459233715,-1.7088012571359086,-2.0632880223782557
04H024,-6.071593741649739,9.136988325978525,-10.819633447343474,0.1781285524899313,-8.45354373360582,-6.331119742454243,1.3712350468989156,-4.886207372852669,6.572403081491909,1.3691708118601131,-0.7889234042071387,-3.5172656115747585,4.0356792073351,-2.2471847303314085,-0.1527293045058587,1.418448062355465,-1.4232141647716237
04H025,-5.729015148683243,-15.767188887295697,-15.18046839123615,-4.630146863859859,3.3300298490188345,3.5262113044644057,-7.099545569946781,2.8462402512365594,1.4616518330457726,-7.091011008982158,-3.9528434607352962,1.4353381446349007,-3.3214224303343802,0.4643666833305216,-3.149053859403719,5.937647305722816,-0.005852959484337089
04H030,-5.467827584998375,4.9788462506527145,-3.9753105563547737,-1.795893647191951,9.50918766499647,-8.500807545037462,7.242900070241875,2.823434021807554,4.778246192590462,-5.334826747691519,0.40584215125446504,-3.3856145861019917,2.5946303666527646,6.949925073545025,-2.529456969504529,2.250808913239092,6.058894773756309
04H039,60.66225041204906,-1.437630971531007,-8.335215562187637,5.728287104464729,9.396799352477958,17.689927363741827,-9.01629654001236,3.6880358916280462,14.785886119233117,4.718132647919521,16.51970825088442,28.41003731537107,7.313700875026013,13.819265180650806,14.377936449904265,13.30618546525629,2.944231252293986
04H041,3.389658468022366,25.1378573801797,-4.5533403506754535,1.1899308164756106,-7.874283469676967,-2.0902669193543315,0.9584697951082857,2.2068908589192517,2.199899085870609,-2.4126014230553787,-0.9801827775761808,-0.1651735789607628,2.4000258796464804,-5.073310187332092,-0.3782131177576794,3.0658890550857016,0.6807113748825645
04H048,4.635821247224289,-12.317563161769044,4.132584987434419,-6.461547017694095,5.28413625390269,-5.646410696598718,1.165923215710509,4.704163698032778,-5.748251274406779,-1.841692251579722,2.9863093410421024,10.390935343724982,0.35378230949333556,-7.318210830549585,-9.0034729073737,-5.208340104523841,7.509139282372382
04H050,1.9749152462499018,9.057703431509035,-9.897471848650824,-6.127268184797642,14.279758322704218,-0.3940175387650308,-8.944435952385135,-3.832284786468341,2.4696609452896885,2.727709220023152,-3.649724644781084,-2.275500725428456,2.2261924550897425,-0.5201157158539635,-0.747474982466755,2.9976940311605844,4.321870600248187
04H054,8.718439305408616,-4.03061963521426,-10.193112093217174,-15.332167813089928,0.2899344609384934,-1.860679430969392,-6.653513750924431,3.0581247524161475,6.80168293933351,-4.2342520204340515,-4.224672371641974,-4.167191175314441,3.732599021815719,-8.43622823642798,2.3420680838938255,4.799367270976924,-0.9602198643148324
04H061,1.0268678912013154,12.78371437420196,7.732691459355573,-4.14034420920196,2.0777253477608006,-6.577101668939718,5.715594940144464,6.19612356413702,10.299051445220817,-6.050012659651724,-3.607007149008811,-6.135533044306202,6.149795132622254,2.7952811541345906,-0.46298002182009534,2.851341014673418,5.978002358081362
04H063,-0.32056433092237496,8.756722039954102,14.70096005364588,5.195882000225563,-2.249381610165906,-8.280962975423996,-1.8699037481144378,-0.4336686925268085,3.69550998657376,2.8202137066930586,1.6723593880543552,-5.943056090888926,0.6959839591376284,-3.4664156827764434,3.0921891305493285,0.8049304713616829,5.5344802067511765
04H068,-11.108541318719908,-3.9432232799342914,11.55103191456042,7.133188423487604,-8.231630294615867,2.069761938820822,-0.6983773011969306,-1.639169736172167,-9.789306124450137,-2.78976796054798,4.419292544944876,-1.996318566806828,9.252872435647838,-1.98488162550948,-2.4502340814505925,5.440036113489907,-0.9329447867797007
04H078,-5.458139535139848,-0.3835336492515562,7.172155461540338,0.2771185507464189,-6.016578923944351,4.632999882547663,-1.6638178418311738,2.816311696610613,3.933971569595524,-6.411034247132238,-4.056065724651515,0.4046597327715583,-2.0663465772404446,-0.31066082400421763,-2.5967361701465554,2.2648376047944017,0.10373086564181573
04H080,-2.5410738935816446,14.971106076125965,-4.2652785542505285,-2.9396382197460267,-15.696448140493928,3.4796058344117973,7.301189062780846,20.562649769674323,-6.023638711280127,4.862985908364737,-3.53621458794777,-2.0180098394456008,-3.731774077115683,-2.5929808178005347,4.418957521331064,3.64983340444684,-0.23303938884608552
