,AP002505.2,C22orf31,SLC26A10,AC005229.1,CRYBA4,AC011095.1,EP400P1,METTL15P1,C1orf50,FCF1P8,AC006122.1,NPIPA5,FKBP4,AC006064.1,RN7SL183P,AL360270.2,TSPAN18_AS1
04H068,0.021189299069938092,0.0,1.3984608496082234,0.05307844348341968,0.0,1.9248992640142835,0.008600171761917567,0.029383777685209667,0.12385164096708583,1.3234583668494677,0.0,0.0,0.02530586526477026,0.09691001300805642,1.376576957056512,0.004321373782642578,0.0
04H078,0.04532297878665747,0.0,1.7032053706954864,0.0,0.0,1.7609499514108973,0.0,0.11727129565576427,0.13033376849500614,1.4500950758716025,0.0,0.0,0.012837224705172217,0.0,1.1075491297446862,0.004321373782642578,0.0
04H080,0.04139268515822507,0.0,1.8618329976579449,0.0,0.0,1.5909532351879858,0.0,0.08278537031645007,0.0,1.7359978840917938,0.0,0.0,0.0,0.0,1.0755469613925308,0.0,0.0
04H091,0.008600171761917567,0.0,1.8176314671905154,0.0,0.0,1.2027606873932,0.04532297878665747,0.004321373782642578,0.0,1.594282028811806,0.0,0.0,0.0,0.07918124604762482,1.4442009888641594,0.008600171761917567,0.0
04H101,0.0,0.0,1.6946051989335686,0.0,0.0,1.0831441431430522,0.0,0.08635983067474821,0.0,1.1942367487238292,0.0,0.0,0.0,0.0,1.3794868137172738,0.0,0.0
04H103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04H108,0.02530586526477026,0.0,1.8819549713396004,0.0,0.0,1.4199557484897578,0.0,0.029383777685209667,0.0,1.3946267642722092,0.0,0.03742649794062367,0.012837224705172217,0.0,1.550228353055094,0.004321373782642578,0.0
04H112,0.004321373782642578,0.0,1.825945143203848,0.0,0.0,1.388278863459639,0.0,0.01703333929878037,0.01703333929878037,1.442009159140952,0.0,0.0,0.0,0.021189299069938092,1.5436956323092448,0.0,0.0
04H117,0.04532297878665747,0.0,1.4614985267830187,0.0,0.0,1.1693804953119495,0.0,0.004321373782642578,0.021189299069938092,1.0297894708318558,0.0,0.0,0.0,0.0,1.2938043599193367,0.0,0.0
04H120,0.01703333929878037,0.0,1.635282637998212,0.0,0.0,1.3630475945210936,0.01703333929878037,0.008600171761917567,0.04921802267018165,1.7237839369653294,0.0,0.0,0.0,0.03342375548694973,1.141136090120739,0.0,0.0
04H123,0.012837224705172217,0.0,1.7902851640332418,0.10720996964786837,0.0,1.1115985248803941,0.012837224705172217,0.012837224705172217,0.0,1.7495044238761421,0.0,0.0,0.008600171761917567,0.03742649794062367,1.6048737705526357,0.0,0.0
04H132,0.08278537031645007,0.0,1.6670792054642167,0.0,0.0,1.5247854493212223,0.0,0.012837224705172217,0.03342375548694973,1.048053173115609,0.0,0.0,0.0,0.0,0.9556877503135057,0.0,0.0
04H133,0.01703333929878037,0.0,1.865340905624584,0.0,0.0,1.650987094383445,0.0,0.01703333929878037,0.0,1.4186326873540653,0.0,0.0,0.0,0.02530586526477026,1.4575791469957626,0.0,0.0
04H135,0.012837224705172217,0.0,1.6558104944952523,0.0,0.0,1.4191293077419758,0.0,0.03742649794062367,0.056904851336472634,1.0132586652835165,0.0,0.0,0.0,0.0,1.1908917169221696,0.0,0.0
04H138,0.02530586526477026,0.0,1.712733859069952,0.0,0.0,1.3362595520141933,0.0,0.05307844348341968,0.06445798922691845,1.5883837683787276,0.012837224705172217,0.0,0.0,0.0,1.1504494094608806,0.0,0.0
04H140,0.03742649794062367,0.0,1.9007493580610795,0.0,0.0,1.4269989587565373,0.0,0.01703333929878037,0.0,1.4111144185509048,0.0,0.0,0.0,0.056904851336472634,1.4065401804339552,0.0,0.0
05H008,0.11727129565576427,0.0,2.062318695658776,0.0,0.0,1.544564097496043,0.0,0.029383777685209667,0.02530586526477026,1.1395642661758498,0.0,0.0,0.008600171761917567,0.0,1.4671639659690903,0.004321373782642578,0.0
05H013,0.01703333929878037,0.0,1.3439990690571613,0.0,0.0,1.6681062379327314,0.0,0.03342375548694973,0.0,1.344588742578714,0.0,0.0,0.0,0.029383777685209667,1.2005769267548483,0.0,0.0
05H025,0.008600171761917567,0.0,1.8230175234460493,0.0,0.0,1.581949658373318,0.0,0.13353890837021748,0.02530586526477026,1.366982975977851,0.0,0.0,0.0,0.0,1.1065308538223813,0.0,0.0
