,AKR1B10,AL161652.1,RXRA,TRNP1,C4A,AC020558.6,NOS1AP,ZMYM4_AS1,ERICH3_AS1,CARD9,AP001317.1,PPP1R2P10,Y_RNA,JPT2,AC096922.1,PALB2,AL138918.1
08H104,0.029383777685209667,1.745777217889759,0.0,0.0,0.0,0.9009130677376691,0.0,0.28555730900777376,0.0,0.7151673578484579,0.02530586526477026,0.0,0.02530586526477026,0.8627275283179747,0.10037054511756291,0.8790958795000727,0.0
08H112,0.029383777685209667,1.650501794878367,0.0,0.0,0.0,0.7589118923979735,0.0,0.13987908640123647,0.0,0.8733206018153987,0.008600171761917567,0.0,0.04532297878665747,1.0499928569201427,0.26007138798507473,0.8645110810583918,0.0
08H113,0.07554696139253074,1.8910912264677238,0.0,0.07918124604762482,0.01703333929878037,0.888179493918325,0.0,0.13353890837021748,0.0,1.401572845676446,0.008600171761917567,0.0,0.02530586526477026,1.4201208480857028,0.18184358794477254,1.2641091563058084,0.0
08H118,1.2227164711475833,1.7550359337677714,0.0,0.04139268515822507,0.0,0.919078092376074,0.0,0.1430148002540951,0.0,1.1058506743851435,0.0,0.0,0.02530586526477026,1.316808752053022,0.3364597338485295,0.7831886910752576,0.0
08H139,0.0,1.9027098129698772,0.0,0.021189299069938092,0.0,1.1433271299920464,0.004321373782642578,0.11394335230683678,0.0,1.110252917353403,0.021189299069938092,0.0,0.04921802267018165,1.308991029000164,0.1903316981702915,0.9907826918031378,0.0
09H002,0.021189299069938092,2.01815937354091,0.0,0.08635983067474821,0.0,1.1476763242410988,0.0,0.290034611362518,0.0,1.4352071032407476,0.012837224705172217,0.0,0.008600171761917567,1.341038631677523,0.2944662261615929,1.17435059747938,0.0
09H005,0.021189299069938092,1.75815462196739,0.0,0.04532297878665747,0.0,1.0,0.0,0.10380372095595687,0.0,1.2545480771089739,0.0,0.0,0.008600171761917567,0.8312296938670634,0.056904851336472634,0.8830933585756899,0.0
09H008,0.0,1.7223870941771238,0.0,0.01703333929878037,0.0,1.055378331375,0.0,0.31386722036915343,0.0,1.0060379549973173,0.0,0.0,0.07554696139253074,1.0748164406451748,0.13987908640123647,0.60422605308447,0.0
09H010,0.056904851336472634,2.021602716028242,0.0,0.10720996964786837,0.0,1.2817149700272958,0.0,0.13353890837021748,0.0,1.2487087356009179,0.0,0.0,0.07188200730612536,1.5768018958289125,0.21748394421390624,1.2250506961380487,0.0
09H013,0.1205739312058499,1.7234556720351857,0.0,0.01703333929878037,0.0,1.0203612826477078,0.01703333929878037,0.1367205671564068,0.0,0.989894563718773,0.0,0.0,0.008600171761917567,1.354108439147401,0.10037054511756291,1.0884904701823963,0.0
09H015,0.06445798922691845,1.7332775339325817,0.0,0.09342168516223506,0.0,1.147985320683805,0.0,0.24303804868629442,0.0,1.3473300153169503,0.021189299069938092,0.0,0.07918124604762482,1.1696744340588068,0.292256071356476,1.139249217571607,0.03342375548694973
09H016,0.1205739312058499,1.839540892968969,0.0,0.10380372095595687,0.0,1.0425755124401905,0.0,0.11394335230683678,0.0,1.246498580795801,0.0,0.0,0.004321373782642578,1.2884728005997825,0.2148438480476979,1.1280760126687153,0.0
09H018,0.0,1.8122446968003694,0.0,0.056904851336472634,0.0,0.9211660506377387,0.0,0.1643528557844371,0.0,1.0195316845312554,0.02530586526477026,0.0,0.012837224705172217,1.6003193297516611,0.2671717284030138,0.9758911364017928,0.1903316981702915
