,EEF1GP1,AP001264.1,SPDYE8P,MTCO2P8,LINC02213,AL031432.4,PRSS2,AC005277.1,AC007563.2,AC010157.2,KDR,SPIN4,AP003400.2,NAA35,HRH4,MYC,TEKT2
02H053,0.0,0.08635983067474821,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.0,0.0,0.24303804868629442,0.008600171761917567,0.012837224705172217,0.0,0.11394335230683678,0.0
02H066,0.02530586526477026,0.1553360374650618,0.0,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.0,0.008600171761917567,0.24551266781414982,0.0,0.008600171761917567,0.0,0.12385164096708583,0.0
03H016,0.008600171761917567,0.07918124604762482,0.0,0.0,0.0,0.0,0.02530586526477026,0.0,0.012837224705172217,0.0,0.012837224705172217,0.1205739312058499,0.021189299069938092,0.012837224705172217,0.0,0.06445798922691845,0.0
03H022,0.008600171761917567,0.3996737214810381,0.0,0.0,0.0,0.03342375548694973,0.0,0.0,0.004321373782642578,0.0,0.004321373782642578,0.3222192947339193,0.029383777685209667,0.012837224705172217,0.0,0.22788670461367355,0.0
03H024,0.021189299069938092,0.04921802267018165,0.0,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,0.0,0.0,0.3384564936046048,0.012837224705172217,0.012837224705172217,0.0,0.12710479836480765,0.0
03H028,0.004321373782642578,0.5314789170422551,0.0,0.0,0.0,0.0,0.8375884382355113,0.06818586174616162,0.004321373782642578,0.04921802267018165,0.008600171761917567,0.21218760440395779,0.0,0.0,0.021189299069938092,0.6020599913279624,0.0
03H033,0.01703333929878037,0.19865708695442263,0.0,0.004321373782642578,0.0,0.0,0.0,0.004321373782642578,0.012837224705172217,0.0,0.008600171761917567,0.20682587603184968,0.008600171761917567,0.021189299069938092,0.0,0.2741578492636798,0.008600171761917567
03H036,0.04139268515822507,0.04139268515822507,0.0,0.0,0.0,0.0,0.1430148002540951,0.08278537031645007,0.004321373782642578,0.0,0.008600171761917567,0.3384564936046048,0.03742649794062367,0.029383777685209667,0.0,0.0,0.0
03H041,0.004321373782642578,0.22010808804005513,0.0,0.0,0.0,0.0,0.0,0.0,0.04139268515822507,0.0,0.004321373782642578,0.15228834438305647,0.06445798922691845,0.012837224705172217,0.0,0.11058971029924897,0.0
03H052,0.004321373782642578,0.10037054511756291,0.0,0.0,0.0,0.0,0.01703333929878037,0.008600171761917567,0.01703333929878037,0.01703333929878037,0.008600171761917567,0.07554696139253074,0.03742649794062367,0.004321373782642578,0.0,0.03742649794062367,0.0
03H060,0.004321373782642578,0.1643528557844371,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.012837224705172217,0.0,0.0,0.03342375548694973,0.03342375548694973,0.012837224705172217,0.0,0.12710479836480765,0.0
