,AC009054.2,PMPCB,AC005618.1,GIMAP8,AC107421.1,AL158825.3,AC092960.1,OSR1,KRT19P2,AC117500.6,CDK13,FOXI1,AC073862.5,LRIG2_DT,AL713866.1,AC012574.2,PYDC2
08H034,0.11394335230683678,0.0,0.0,0.056904851336472634,0.0,0.012837224705172217,0.36361197989214433,0.004321373782642578,0.0,0.0,0.0,0.029383777685209667,1.5564231213712854,1.1997551772534747,0.0,0.0,0.0
08H042,0.5211380837040362,0.0,0.0,0.02530586526477026,0.0,0.0,0.4099331233312946,0.008600171761917567,0.0,0.0,0.0,0.0,1.6166855208955122,1.6563857190586877,0.0,0.0,0.0
08H048,0.2576785748691845,0.0,0.0,0.0,0.0,0.0,0.8014037100173551,0.004321373782642578,0.0,0.0,0.0,0.0,1.6061663146076206,1.6468936241677452,0.0,0.0,0.0
08H049,0.11058971029924897,0.01703333929878037,0.0,0.0,0.0,0.0,0.5865873046717549,0.021189299069938092,0.0,0.0,0.01703333929878037,0.0,1.5798978696031039,1.2612628687924936,0.0,0.0,0.0
08H050,0.11058971029924897,0.0,0.0,0.0,0.0,0.0,0.4014005407815441,0.012837224705172217,0.0,0.0,0.0,0.0,1.4426365257822318,1.2530955858490316,0.0,0.0,0.0
08H054,0.1430148002540951,0.0,0.0,0.01703333929878037,0.0,0.021189299069938092,0.24797326636180664,0.0,0.1903316981702915,0.0,0.0,0.0,1.392345155361204,1.6101276130759954,0.0,0.0,0.0
08H055,0.37474834601010387,0.0,0.0,0.0,0.0,0.0,0.35024801833416286,0.03342375548694973,0.0,0.0,0.0,0.021189299069938092,1.4323277922616042,1.5020172148271473,0.0,0.0,0.0
08H056,0.04921802267018165,0.0,0.0,0.0,0.0,0.0,0.6608654780038692,0.012837224705172217,0.0,0.0,0.0,0.012837224705172217,1.631950826259217,1.6523430550627147,0.0,0.0,0.0
08H062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08H063,1.1408221801093106,0.06069784035361165,0.0,0.0,0.0,0.0,1.216957207361097,0.008600171761917567,0.0,0.0,0.0,0.0,1.616580530085886,0.0,0.0,0.0,0.0
08H065,0.1643528557844371,0.012837224705172217,0.0,0.0,0.0,0.02530586526477026,0.7634279935629373,0.01703333929878037,0.271841606536499,0.0,0.0,0.0,1.571009672309305,1.2312146479626012,0.0,0.0,0.0
08H072,0.5352941200427705,0.008600171761917567,0.0,0.0,0.0,0.004321373782642578,0.2764618041732442,0.004321373782642578,0.0,0.0,0.0,0.012837224705172217,1.5420781463356257,1.3872118003137306,0.0,0.0,0.0
08H081,0.6580113966571124,0.004321373782642578,0.0,0.0,0.029383777685209667,0.008600171761917567,0.5365584425715302,0.008600171761917567,0.0,0.0,0.0,0.029383777685209667,1.4684950245070694,1.2445245115700838,0.0,0.0,0.0
08H082,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.5365584425715302,0.01703333929878037,0.0,0.0,0.0,0.06445798922691845,1.5714759036819437,1.3921691494897361,0.0,0.0,0.0
08H085,0.056904851336472634,0.0,0.0,0.0,0.0,0.0,0.1931245983544616,0.01703333929878037,0.0,0.0,0.0,0.0,1.6594407818703176,1.0773679052841565,0.0,0.0,0.0
08H087,0.43933269383026263,0.0,0.0,0.06069784035361165,0.0,0.0,0.4899584794248346,0.012837224705172217,0.2576785748691845,0.0,0.0,0.012837224705172217,1.3900514964589874,1.1855421548543752,0.0,0.0,0.0
08H089,0.320146286111054,0.01703333929878037,0.0,0.10037054511756291,0.0,0.0,0.6821450763738318,0.004321373782642578,0.0,0.0,0.0,0.008600171761917567,1.6504046698680317,0.960470777534299,0.0,0.0,0.0
08H099,0.14921911265537988,0.0,0.0,0.0,0.0,0.0,0.3873898263387294,0.004321373782642578,0.0,0.0,0.0,0.02530586526477026,1.5198279937757189,1.0784568180532925,0.0,0.0,0.0
08H104,0.16136800223497488,0.0,0.0,0.0,0.0,0.0,0.4517864355242902,0.0,0.0,0.0,0.0,0.0,1.6727441983065992,0.8808135922807914,0.0,0.0,0.0
