,ENSG00000174059,ENSG00000138722,ENSG00000113657,ENSG00000105810,ENSG00000104341,ENSG00000196139,ENSG00000128805,ENSG00000134531,ENSG00000120833,ENSG00000205978,ENSG00000277988,ENSG00000261633,ENSG00000095932,ENSG00000088882,ENSG00000088305,ENSG00000130584,ENSG00000238049
07H041,0.11971737739677778,4.839283831119892,0.6860992442274229,3.556989916688578,2.4351936578384623,0.011041933201607212,0.4053761319680177,2.6775194651784893,5.370313468355495,1.622470320259127,0.0,0.07520140648365356,1.035991190561629,3.432525749946885,2.5104893161005473,1.7722642890326301,0.0
07H042,1.682329289420817,3.840499030423601,3.9231468914162972,5.195450195244339,2.473353142861112,1.392711516648461,3.4689442500065244,3.4391694023798363,3.0655103523942864,3.6228604806521334,0.0,0.8184063293992763,5.159223052751103,6.189816878841117,4.522035377898922,2.7947266186714868,0.0
07H045,0.08275058120345843,0.1822046932532501,1.8473962485397293,5.009646762951787,1.781239232232407,0.6538499693537254,0.1190298189007365,3.453200287740461,0.2713282309675733,0.8756053472518764,0.0,0.0,2.8103042442061037,2.6538872751347586,1.3388127217737338,1.32974841052284,0.0
07H055,1.0946838814625262,1.7329361034724162,1.1470722474501045,3.509268704404179,2.0683665644230125,0.08721357098304482,1.454806934684494,4.824115538939677,0.6804465883106264,1.3819432183966662,0.0,0.08762121001510498,2.4076167496914707,4.0376708602996825,2.3670835543809763,1.0486594293560954,0.0
07H062,5.15922088843493,4.513853820463234,3.917370341418422,5.112527219176758,5.967363220694663,1.6845012470709726,3.8017511362518035,3.516530212575805,4.714725292505629,3.4309367728150524,0.0,1.374351081936378,4.8564167049002505,6.207575030658901,5.046347501057077,2.9566881440886807,0.227313468906316
07H069,6.360803364680548,3.5963039137781547,2.527344199735611,5.093725109747423,3.865251380951532,2.2662858041287355,3.343119486329233,5.373036165501639,1.8300335761658388,4.634885923060361,0.0,0.5270133411581583,5.213851443451428,2.219165167677528,4.627002251912027,3.1693313394399025,0.0
07H089,2.33112857725334,3.4278963028730614,2.1560768873793843,5.2428164513474025,5.055327049376354,0.9329760943378431,3.110222824942472,3.762761879620398,3.7519748673989897,3.5030675148999895,0.12936388265044618,0.8673294842737825,4.1409300224680266,6.105246196841841,4.152357401740487,2.119543740566756,0.0
07H095,2.837446993265665,3.7615211140743114,2.6252668302465496,5.126536580203961,3.6053725319122716,1.4840750912934066,3.333438829463378,2.9798497104122843,3.482505604181713,3.0552478788093547,0.0,0.41484119592690977,5.265948033926992,5.981256240221426,4.288755360949611,2.300843507193097,0.0
07H098,3.977793925434629,2.3041118523972073,1.267514373854741,4.9625949831531715,3.977424012595828,1.3016758153400794,2.74622905233657,2.9902138497449635,2.8917120699511023,2.803646431782045,0.09089248661384014,0.24040407836345104,5.051343606693719,5.286415589637947,3.7619886416713544,2.0800484285822645,0.0
07H099,5.949236152895611,3.8578819851133206,0.8036868642107036,4.7183674070265775,2.891667117234216,1.6170545846319555,0.8222619913048138,6.136697404610002,2.7803501704156925,1.4709392738423097,0.5913330849471973,0.0,5.030197619992995,5.330620453622482,0.7115599425931466,1.9298296333239644,0.0
07H106,0.044460556669308135,1.4265710245756844,3.2458780896007253,4.659716978257413,1.6897464978606171,0.5473903505196088,2.162010664122014,6.519742818189305,1.3166186894918694,1.951310289760385,0.0,1.2050353653997188,5.351272235694975,6.100179407779728,2.949948866373116,2.226679605985404,0.0
07H107,2.3794827937558414,1.82384997383403,4.134708919583402,5.18350309969629,2.7841538000409924,1.4022029078230895,2.0697875048799803,2.9395803466097203,1.7726571386862957,1.7983792352126997,0.0,0.16908412245091758,5.304735708452872,5.685736141926264,3.6554600419819154,2.4221516316337444,0.0
07H117,0.13438415763748368,0.024382498925976385,2.559547945146596,2.2951225421180435,1.9210191296856272,0.2589538631492454,0.6540167738611867,4.615230787777888,0.5171015971391778,0.22714257858763565,0.0,0.31254782408751497,4.237751208841886,4.053926115336738,0.8765430335516796,0.6554678377150346,0.0
07H124,5.549354714109294,4.199393697397557,3.987963676647164,5.647794343500935,4.350475142332233,1.687598624743505,2.1178275098860175,4.891852792686732,3.5414774852289987,3.0423310117042437,0.0,0.962097521951531,5.205992380377995,5.95210223412595,3.4348154622489413,2.358993639937756,0.0
07H125,2.1043076663612585,3.326905782062575,4.035175133865413,5.219802543665899,4.96078234437323,2.1341920798714913,3.486749968849351,2.9850622355679697,4.022892539355217,3.2493912808238026,0.0,0.3214076950662087,4.86948166961244,5.831308599617014,4.648345035869603,2.943379353531864,0.0
