,AMMECR1L,TMA7,ANGPTL7,CYP2AB1P,LINC01966,CREB3,AL078582.2,AC027277.2,AC135507.1,RPS21P4,HEPACAM,LSINCT5,AC008764.9,SINHCAFP2,CMTM2,CDCA7,SLCO2B1
05H042,2.2433357485598755,0.056904851336472634,1.3967222785037734,0.16731733474817606,0.0,0.0,2.6823256186678073,0.0,0.0,0.012837224705172217,0.0,0.029383777685209667,0.0,0.1553360374650618,1.1690863574870227,1.0297894708318558,1.6265456590271294
05H050,2.279758172802473,0.0,1.382917135087531,0.146128035678238,0.0,0.01703333929878037,2.1652146399103294,0.021189299069938092,0.012837224705172217,0.0,0.0,0.056904851336472634,0.0,0.367355921026019,1.1319392952104246,0.5658478186735176,0.6211762817750351
05H054,1.9838517189914717,0.04921802267018165,1.2794387882870204,0.17897694729316943,0.0,0.0,2.463340441902779,0.004321373782642578,0.0,0.0,0.0,0.004321373782642578,0.0,0.42975228000240795,1.2935835134961169,1.3372595397502758,0.4014005407815441
05H065,2.416141031168329,0.0,1.4032921451582543,0.15228834438305647,0.0,0.0,2.485735618879807,0.02530586526477026,0.0,0.0,0.0,0.056904851336472634,0.0,0.37106786227173627,1.0228406108765278,0.6637009253896481,0.7888751157754168
05H066,2.070296518197765,0.012837224705172217,1.3121773564397787,0.17609125905568124,0.0,0.0,2.6535887393187965,0.008600171761917567,0.029383777685209667,0.0,0.0,0.008600171761917567,0.0,0.3873898263387294,1.2837533833325265,1.1335389083702174,0.43136376415898736
05H072,1.8169700377572995,0.03742649794062367,1.4256972133625911,0.22530928172586287,0.0,0.0,2.70399599724626,0.0,0.02530586526477026,0.0,0.0,0.0,0.004321373782642578,0.3424226808222063,1.1528995963937474,0.5237464668115644,0.8254261177678232
05H078,1.9243309847086785,0.04532297878665747,1.3324384599156054,0.1643528557844371,0.0,0.0,2.4642510223795595,0.0,0.021189299069938092,0.0,0.0,0.0,0.0,0.11727129565576427,1.2678754193188975,1.2571984261393445,1.0802656273398448
05H090,1.7554174628109362,0.0,1.1766699326681496,0.17318626841227402,0.0,0.0,2.6350914983243756,0.008600171761917567,0.0,0.01703333929878037,0.0,0.02530586526477026,0.0,0.15836249209524964,1.3062105081677615,1.969229479862643,0.9444826721501687
05H094,2.290591042549338,0.0,1.4114513421379375,0.20139712432045143,0.0,0.0,2.633852081219081,0.0,0.0,0.0,0.0,0.0,0.0,0.5352941200427705,1.1464381352857747,0.1643528557844371,0.7715874808812554
05H097,1.8283376000590044,0.03342375548694973,1.2180100429843634,0.15836249209524964,0.0,0.0,2.627775375229303,0.004321373782642578,0.0,0.01703333929878037,0.0,0.0,0.0,0.2741578492636798,1.021189299069938,1.011570443597278,0.8109042806687004
05H099,1.8587777373054493,0.021189299069938092,1.2643455070500924,0.1931245983544616,0.0,0.0,2.647940152753331,0.008600171761917567,0.012837224705172217,0.0,0.0,0.0,0.0,0.26481782300953643,1.2352758766870524,1.7332775339325817,1.1293675957229856
05H111,1.8923729073984363,0.01703333929878037,1.4933186082321015,0.29885307640970665,0.0,0.0,2.570028954206655,0.0,0.0,0.01703333929878037,0.0,0.02530586526477026,0.0,0.3364597338485295,1.0542299098633974,0.69810054562339,1.0538464268522527
05H113,2.167376418413583,0.03342375548694973,1.2437819160937948,0.26481782300953643,0.0,0.0,2.6510258949268377,0.008600171761917567,0.0,0.03342375548694973,0.0,0.021189299069938092,0.004321373782642578,0.250420002308894,1.4144719496293028,2.1364668904658393,1.5737995822157407
05H118,2.0195316845312554,0.03742649794062367,1.2195845262142546,0.11058971029924897,0.0,0.0,2.8430208754434503,0.004321373782642578,0.02530586526477026,0.0,0.0,0.012837224705172217,0.0,0.17026171539495738,1.6062738531699883,1.436162647040756,0.9513375187959178
05H128,2.513350798805957,0.0,1.5535189401489695,0.2148438480476979,0.0,0.0,2.681042140108105,0.0,0.029383777685209667,0.021189299069938092,0.0,0.26007138798507473,0.0,0.3820170425748684,1.6467956887784694,0.22530928172586287,0.44560420327359757
05H136,2.1596574112477045,0.04532297878665747,1.1205739312058498,0.1205739312058499,0.0,0.0,2.611893169936525,0.008600171761917567,0.0,0.0,0.0,0.04139268515822507,0.0,0.31386722036915343,1.2405492482825997,1.8380300829853202,0.6875289612146344
05H143,2.4561989646592375,0.03742649794062367,1.643057683751453,0.26007138798507473,0.0,0.0,2.568624075425273,0.03342375548694973,0.0,0.01703333929878037,0.0,0.056904851336472634,0.0,0.6242820958356683,1.1231980750319988,0.8767949762007006,1.4229179807676624
05H149,2.23200448297183,0.03342375548694973,1.2880255353883627,0.19865708695442263,0.0,0.0,2.3221986135518917,0.004321373782642578,0.0,0.029383777685209667,0.0,0.0,0.0,0.24303804868629442,1.4617985575251093,1.6264430253312947,0.2966651902615311
05H163,2.225050696138049,0.06445798922691845,1.321391278311689,0.1931245983544616,0.0,0.0,2.664039938402841,0.012837224705172217,0.0,0.0,0.0,0.0,0.004321373782642578,0.25527250510330607,1.511348515490213,0.9106244048892013,1.0098756337121602
